Strand_kode	nummer	Gammel_kommune
AAI	929	Åmli
AAI	937	Evje og Hornnes
AAI	938	Bygland
AAI	940	Valle
AAI	941	Bykle
AAY	901	Risør
AAY	906	Arendal
AAY	904	Grimstad
AAY	911	Gjerstad
AAY	912	Vegårdshei
AAY	914	Tvedestrand
AAY	919	Froland
AAY	926	Lillesand
AAY	928	Birkenes
AAY	935	Iveland
AK	301	Oslo
AK	211	Vestby
AK	213	Ski
AK	214	Ås
AK	215	Frogn
AK	216	Nesodden
AK	217	Oppegård
AK	219	Bærum
AK	220	Asker
AK	221	Aurskog-Høland
AK	226	Sørum
AK	227	Fet
AK	228	Rælingen
AK	229	Enebakk
AK	230	Lørenskog
AK	231	Skedsmo
AK	233	Nittedal
AK	234	Gjerdrum
AK	235	Ullensaker
AK	236	Nes
AK	237	Eidsvoll
AK	238	Nannestad
AK	239	Hurdal
BV	615	Flå
BV	616	Nes
BV	617	Gol
BV	618	Hemsedal
BV	619	Ål
BV	620	Hol
BV	621	Sigdal
BV	632	Rollag
BV	633	Nore og Uvdal
BØ	602	Drammen
BØ	604	Kongsberg
BØ	605	Ringerike
BØ	612	Hole
BØ	622	Krødsherad
BØ	623	Modum
BØ	624	Øvre Eiker
BØ	625	Nedre Eiker
BØ	626	Lier
BØ	627	Røyken
BØ	628	Hurum
BØ	631	Flesberg
BØ	627	Hjartdal
BØ	628	Seljord
FI	2011	Kautokeino
FI	2021	Karasjok
FN	2002	Vardø
FN	2003	Vadsø
FN	2020	Porsanger
FN	2022	Lebesby
FN	2023	Gamvik
FN	2024	Berlevåg
FN	2025	Tana
FN	2027	Nesseby
FN	2028	Båtsfjord
FV	2004	Hammerfest
FV	2012	Alta
FV	2014	Loppa
FV	2015	Hasvik
FV	2017	Kvalsund
FV	2018	Måsøy
FV	2019	Nordkapp
FØ	2030	Sør-Varanger
HEN	428	Trysil
HEN	429	Åmot
HEN	430	Stor-Elvdal
HEN	432	Rendalen
HEN	434	Engerdal
HEN	436	Tolga
HEN	437	Tynset
HEN	438	Alvdal
HEN	439	Folldal
HEN	441	Os
HES	403	Hamar
HES	402	Kongsvinger
HES	412	Ringsaker
HES	415	Løten
HES	417	Stange
HES	418	Nord-Odal
HES	419	Sør-Odal
HES	420	Eidskog
HES	423	Grue
HES	425	Åsnes
HES	426	Våler
HES	427	Elverum
HOI	1211	Etne
HOI	1224	Kvinnherad
HOI	1227	Jondal
HOI	1228	Odda
HOI	1231	Ullensvang
HOI	1232	Eidfjord
HOI	1233	Ulvik
HOI	1234	Granvin
HOI	1235	Voss
HOI	1238	Kvam
HOY	1201	Bergen
HOY	1214	Ølen
HOY	1216	Sveio
HOY	1219	Bømlo
HOY	1221	Stord
HOY	1222	Fitjar
HOY	1223	Tysnes
HOY	1241	Fusa
HOY	1242	Samnanger
HOY	1243	Os
HOY	1244	Austevoll
HOY	1245	Sund
HOY	1246	Fjell
HOY	1247	Askøy
HOY	1251	Vaksdal
HOY	1252	Modalen
HOY	1253	Osterøy
HOY	1256	Meland
HOY	1259	Øygarden
HOY	1260	Radøy
HOY	1263	Lindås
HOY	1264	Austrheim
HOY	1265	Fedje
HOY	1266	Masfjorden
MRI	1524	Norddal
MRI	1525	Stranda
MRI	1526	Stordal
MRI	1539	Rauma
MRI	1543	Nesset
MRI	1563	Sunndal
MRI	1566	Surnadal
MRI	1567	Rindal
MRY	1502	Molde
MRY	1505	Kristiansund
MRY	1504	Ålesund
MRY	1511	Vanylven
MRY	1514	Sande
MRY	1515	Herøy
MRY	1516	Ulstein
MRY	1517	Hareid
MRY	1519	Volda
MRY	1520	Ørsta
MRY	1523	?rskog
MRY	1528	Sykkylven
MRY	1529	Skodje
MRY	1531	Sula
MRY	1532	Giske
MRY	1534	Haram
MRY	1535	Vestnes
MRY	1545	Midsund
MRY	1546	Sand?y
MRY	1547	Aukra
MRY	1548	Fr?na
MRY	1551	Eide
MRY	1554	Aver?y
MRY	1557	Gjemnes
MRY	1560	Tingvoll
MRY	1576	Aure
MRY	1571	Halsa
MRY	1573	Sm?la
NNV	1851	L?dingen
NNV	1856	R?st
NNV	1857	V?r?y
NNV	1859	Flakstad
NNV	1860	Vestv?g?y
NNV	1865	V?gan
NNV	1866	Hadsel
NNV	1867	B?
NNV	1868	?ksnes
NNV	1870	Sortland
NNV	1871	And?y
NNV	1874	Moskenes
NN?	1805	Narvik
NN?	1845	S?rfold
NN?	1848	Steigen
NN?	1849	Hamar?y
NN?	1850	Tysfjord
NN?	1852	Tjeldsund
NN?	1853	Evenes
NN?	1854	Ballangen
NSI 	1824	Vefsn
NSI 	1825	Grane
NSI 	1826	Hattfjelldal
NSI 	1832	Hemnes
NSI 	1833	Rana
NSI 	1839	Beiarn
NSI 	1840	Saltdal
NSI 	1841	Fauske
NSY	1804	Bod?
NSY	1811	Bindal
NSY	1812	S?mna
NSY	1813	Br?nn?y
NSY	1815	Vega
NSY	1816	Vevelstad
NSY	1818	Her?y
NSY	1820	Alstahaug
NSY	1822	Leirfjord
NSY	1827	D?nna
NSY	1828	Nesna
NSY	1834	Lur?y
NSY	1835	Tr?na
NSY	1836	R?d?y
NSY	1837	Mel?y
NSY	1838	Gildesk?l
NTI 	5004	Steinkjer
NTI 	5034	Mer?ker
NTI 	5035	Stj?rdal
NTI 	5036 	Frosta
NTI 	5037 	Levanger
NTI   	5038	Verdal
NTI 	5039	Verran
NTI 	5053	Inder?y
NTI 	5041	Sn?sa
NTI 	5042	Lierne
NTI 	5043	R?yrvik
NTI 	5044	Namsskogan
NTI 	5045	Grong
NTI 	5046	H?ylandet
NTI 	5047	Overhalla
NTY	5005	Namsos
NTY	5040	Namdalseid
NTY	5048	Fosnes
NTY	5049	Flatanger
NTY	5050	Vikna
NTY	5051	N?r?y
NTY	5052	Leka
ON	511	Dovre
ON	512	Lesja
ON	513	Skj?k
ON	514	Lom
ON	515	V?g?
ON	516	Nord-Fron
ON	517	Sel
ON	543	Vestre Slidre
ON	544	?ystre Slidre
ON	545	Vang
OS	501	Lillehammer
OS	502	Gj?vik
OS	519	S?r-Fron
OS	520	Ringebu
OS	521	?yer
OS	522	Gausdal
OS	528	?stre Toten
OS	529	Vestre Toten
OS	532	Jevnaker
OS	533	Lunner
OS	534	Gran
OS	536	S?ndre Land
OS	538	Nordre Land
OS	540	S?r-Aurdal
OS	541	Etnedal
OS	542	Nord-Aurdal
RI	1129	Forsand
RI	1133	Hjelmeland
RI	1134	Suldal
